Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mutant Bacillus subtilis subsp. subtilis strain MGP060, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3168362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116842.1?report=genbank&log$=nucltop&blast_rank=1&RID=7ZWKD9BG015"",""CP116842.1"")"
"Bacillus subtilis strain 0137 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP103066.1?report=genbank&log$=nucltop&blast_rank=2&RID=7ZWKD9BG015"",""CP103066.1"")"
"Bacillus subtilis BEST7613 DNA, complete genome",Bacillus subtilis BEST7613,921,921,100%,0.0,100.00,7585470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP012495.1?report=genbank&log$=nucltop&blast_rank=3&RID=7ZWKD9BG015"",""AP012495.1"")"
"Bacillus subtilis strain GXD-20 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4227198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116391.1?report=genbank&log$=nucltop&blast_rank=4&RID=7ZWKD9BG015"",""CP116391.1"")"
Bacillus subtilis subsp. subtilis strain QB5413 genome,Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4217957,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP017313.1?report=genbank&log$=nucltop&blast_rank=5&RID=7ZWKD9BG015"",""CP017313.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP116, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3071903,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116853.1?report=genbank&log$=nucltop&blast_rank=6&RID=7ZWKD9BG015"",""CP116853.1"")"
"Bacillus subtilis subsp. subtilis strain R38 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4086124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP155054.1?report=genbank&log$=nucltop&blast_rank=7&RID=7ZWKD9BG015"",""CP155054.1"")"
"Mutant Bacillus subtilis isolate FELIX_MS382, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4214842,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP137695.1?report=genbank&log$=nucltop&blast_rank=8&RID=7ZWKD9BG015"",""CP137695.1"")"
"Bacillus subtilis strain TO-A JPC, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4090708,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP011882.1?report=genbank&log$=nucltop&blast_rank=9&RID=7ZWKD9BG015"",""CP011882.1"")"
"Bacillus subtilis BEST3096 DNA, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4207047,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP024622.1?report=genbank&log$=nucltop&blast_rank=10&RID=7ZWKD9BG015"",""AP024622.1"")"
